OBL;BAZA;TIMESTAMP;ATTRIBUTE;Модель;Пакет;Свойство;Значение;ЦветМП
0;RM;2025-05-18 18:38:31.000;;1.5 TBC;UV Basic ISee Digital;Бренд;TOKAI;
0;RM;2025-05-18 18:38:31.000;;1.5 E50 PGC;Basic Skylight;Бренд;TOKAI;
0;RM;2025-05-18 18:38:31.000;;1.6 Lutina AS PGC-UV;HD UV Slim Skylight Digital;Бренд;TOKAI;
0;RM;2025-05-18 18:38:31.000;;Pal Ultimate Pref Far 1.6 NV2 Photogrey;PerfectVision Prime Sunactive UV Slim Skylight Max;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;Pal Ultimate Pref Far 1.6 NV2 Photogrey;PerfectVision Prime Sunactive UV Slim Skylight Max;Цвет ОЛ;Photogrey;Серый
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.6;Readers Smart UV Slim Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.6;Readers Smart UV Slim Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.6;Readers Smart UV Slim Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.6;Readers Smart UV Slim ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR;
0;RM;2025-05-18 18:38:31.000;;SV Supreme Plus 0.5 1.60;Smart Zen Slim Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.60;Smart UV Slim Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.60;Smart UV Slim ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR;
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.60;Smart UV GradDark Slim Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.60;Smart UV Dark Slim Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.60;Smart UV Slim Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.60 NV2 photobrown;Smart Sunactive UV Slim Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.60 NV2 photobrown;Smart Sunactive UV Slim Skylight;Цвет ОЛ;Photobrown;Коричневый
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.60 NV2 photogrey;Smart Sunactive UV Slim Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.60 NV2 photogrey;Smart Sunactive UV Slim Skylight;Цвет ОЛ;Photogrey;Серый
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.50;Smart UV Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.50;Smart UV Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR;
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.50;Smart UV GradDark Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.50;Smart UV GradDark Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR;
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.50;Smart UV Dark Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.50;Smart UV Dark Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR;
0;RM;2025-05-18 18:38:31.000;;SV Supreme 1.50;Smart UV Basic Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Pal Ultimate Pref Far 1.6 NV2 Photobrown;PerfectVision Prime Sunactive UV Slim Skylight Max;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;Pal Ultimate Pref Far 1.6 NV2 Photobrown;PerfectVision Prime Sunactive UV Slim Skylight Max;Цвет ОЛ;Photobrown;Коричневый
0;RM;2025-05-18 18:38:31.000;;Pal Ultimate Pref Flex 1.6 NV2 Photobrown;PerfectVision Prime Sunactive UV Slim Skylight Max;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;Pal Ultimate Pref Flex 1.6 NV2 Photobrown;PerfectVision Prime Sunactive UV Slim Skylight Max;Цвет ОЛ;Photobrown;Коричневый
0;RM;2025-05-18 18:38:31.000;;Pal Ultimate Pref Flex 1.6 NV2 Photogrey;PerfectVision Prime Sunactive UV Slim Skylight Max;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;Pal Ultimate Pref Flex 1.6 NV2 Photogrey;PerfectVision Prime Sunactive UV Slim Skylight Max;Цвет ОЛ;Photogrey;Серый
0;RM;2025-05-18 18:38:31.000;;Pal Ultimate Pref Near 1.6 NV2 Photobrown;PerfectVision Prime Sunactive UV Slim Skylight Max;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;Pal Ultimate Pref Near 1.6 NV2 Photobrown;PerfectVision Prime Sunactive UV Slim Skylight Max;Цвет ОЛ;Photobrown;Коричневый
0;RM;2025-05-18 18:38:31.000;;Pal Ultimate Pref Near 1.6 NV2 Photogrey;PerfectVision Prime Sunactive UV Slim Skylight Max;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;Pal Ultimate Pref Near 1.6 NV2 Photogrey;PerfectVision Prime Sunactive UV Slim Skylight Max;Цвет ОЛ;Photogrey;Серый
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.6;Readers Smart UV Slim Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.6;Readers Smart UV Slim ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.6;Readers Smart UV Slim Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.6;Readers Smart UV Slim Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.6;Readers Smart UV Slim Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.6;Readers Smart UV Slim Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.6;Readers Smart UV Slim ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.5;Readers Smart UV Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.5;Readers Smart UV Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.5;Readers Smart UV Basic Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.5;Readers Smart UV Basic Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.5;Readers Smart UV Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.5;Readers Smart UV Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.5;Readers Smart UV Basic Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.5;Readers Smart UV Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.5;Readers Smart UV Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.5;Readers Smart UV Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.5;Readers Smart UV Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Book Organic 1.5;Readers Smart UV Basic Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.5;Readers Smart UV Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.5;Readers Smart UV Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.5;Readers Smart UV Basic Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.5;Readers Smart UV Basic Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.5;Readers Smart UV Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.5;Readers Smart UV Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.5;Readers Smart UV Basic Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.5;Readers Smart UV Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.5;Readers Smart UV Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.5;Readers Smart UV Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.5;Readers Smart UV Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme PC Organic 1.5;Readers Smart UV Basic Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.5;Readers Smart UV Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.5;Readers Smart UV Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.5;Readers Smart UV Basic Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.5;Readers Smart UV Basic Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.5;Readers Smart UV Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.5;Readers Smart UV Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.5;Readers Smart UV Basic Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.5;Readers Smart UV Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.5;Readers Smart UV Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.5;Readers Smart UV Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.5;Readers Smart UV Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Near Vision Supreme Office Organic 1.5;Readers Smart UV Basic Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Intermediate 1.50  B;Readers Basic Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR+;
0;RM;2025-05-18 18:38:31.000;;Intermediate 1.50  B;Readers Basic ISee;Покрытия KEFF Premium by Rodenstock;Hard Super-AR;
0;RM;2025-05-18 18:38:31.000;;Intermediate 1.50  B;Readers UV Basic Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Intermediate 1.60  A;Readers Slim Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;Intermediate 1.60  A;Readers UV Slim Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Intermediate 1.60  B;Readers Slim Skylight;Покрытия KEFF Premium by Rodenstock;Hard Super-AR double+;
0;RM;2025-05-18 18:38:31.000;;Intermediate 1.60  B;Readers UV Slim Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Pal Supreme Pref Far 1.6;PerfectVision Smart UV Slim Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Pal Supreme Pref Flex 1.6;PerfectVision Smart UV Slim Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
0;RM;2025-05-18 18:38:31.000;;Pal Supreme Pref Near 1.6;PerfectVision Smart UV Slim Skylight Digital;Покрытия KEFF Premium by Rodenstock;Hard Super-AR + Blue;
